iter	Passed	Remaining
857	326940	54109
858	327349	53732
859	327750	53354
860	328105	52969
861	328375	52570
862	328738	52186
863	329130	51807
864	329489	51423
865	329621	51003
866	330035	50628
867	330415	50247
868	330757	49861
869	331119	49477
870	331521	49100
871	331930	48723
872	332310	48343
873	332686	47961
874	333032	47576
875	333412	47195
876	333801	46816
877	334224	46441
878	334632	46064
879	335039	45687
880	335449	45310
881	335863	44934
882	336161	44542
883	336507	44157
884	336920	43780
885	337311	43401
886	337649	43015
887	338068	42639
888	338410	42253
889	338765	41869
890	339181	41493
891	339590	41116
892	339922	40729
893	340327	40352
894	340734	39974
895	341143	39597
896	341528	39216
897	341910	38836
898	342312	38457
899	342729	38081
900	343125	37701
901	343489	37319
902	343897	36941
903	344299	36562
904	344653	36179
905	345062	35801
906	345398	35415
907	345771	35034
908	346183	34656
909	346558	34274
910	346937	33893
911	347317	33513
912	347698	33132
913	348034	32747
914	348377	32362
915	348790	31985
916	349174	31604
917	349511	31219
918	349887	30838
919	350252	30456
920	350644	30077
921	351067	29699
922	351470	29320
923	351870	28941
924	352270	28562
925	352654	28181
926	353078	27804
927	353479	27425
928	353866	27044
929	354285	26666
930	354590	26280
931	354958	25898
932	355358	25518
933	355687	25134
934	356016	24749
935	356429	24371
936	356845	23992
937	357261	23614
938	357642	23233
939	358010	22851
940	358411	22472
941	358801	22091
942	359155	21709
943	359568	21330
944	359868	20944
945	360223	20562
946	360562	20179
947	360957	19799
948	361369	19420
949	361740	19038
950	362129	18658
951	362480	18276
952	362885	17896
953	363261	17515
954	363605	17133
955	364015	16753
956	364341	16370
957	364703	15989
958	365099	15609
959	365496	15229
960	365837	14846
961	366206	14465
962	366592	14085
963	366988	13704
964	367356	13323
965	367737	12943
966	368146	12563
967	368538	12183
968	368934	11802
969	369277	11420
970	369674	11040
971	370050	10659
972	370409	10278
973	370803	9898
974	371209	9518
975	371540	9136
976	371912	8755
977	372311	8375
978	372653	7993
979	373056	7613
980	373456	7233
981	373857	6852
982	374273	6472
983	374684	6092
984	375024	5711
985	375412	5330
986	375820	4950
987	376237	4569
988	376636	4189
989	376954	3807
990	377308	3426
991	377691	3045
992	378045	2664
993	378445	2284
994	378794	1903
995	379163	1522
996	379582	1142
997	379990	761
998	380345	380
999	380637	0
