iter	Accuracy	MultiClass
330	0.837962963	0.409425363
331	0.8379419192	0.4092816691
332	0.8378998316	0.4091252551
333	0.838236532	0.4087551635
334	0.8382154882	0.4086317892
335	0.8383417508	0.4083675171
336	0.8385942761	0.4081572473
337	0.8390151515	0.4078885209
338	0.8390782828	0.4075270675
339	0.8392887205	0.4071008526
340	0.8394570707	0.4068225748
341	0.8393518519	0.4065385542
342	0.8394781145	0.4064756732
343	0.8396464646	0.4060623859
344	0.8396675084	0.4055245401
345	0.8398989899	0.4050164006
346	0.839793771	0.4049081139
347	0.8400883838	0.4047092051
348	0.8400252525	0.4045428143
349	0.8404461279	0.4041041625
350	0.8408249158	0.4036543858
351	0.8409301347	0.4035571052
352	0.8410984848	0.4034054213
353	0.8410353535	0.40334593
354	0.8410984848	0.4032355468
355	0.8410353535	0.4030725738
356	0.8410774411	0.4028393909
357	0.8411195286	0.4022735174
358	0.8414351852	0.4020869238
359	0.8415614478	0.4018640946
360	0.841540404	0.4016634224
361	0.841540404	0.401586396
362	0.8414772727	0.4014195947
363	0.8416666667	0.401132364
364	0.8417718855	0.4008705377
365	0.8419191919	0.4003898825
366	0.8421927609	0.4000480893
367	0.8423400673	0.3999624205
368	0.8425294613	0.3998037309
369	0.8426557239	0.3995826863
370	0.8426346801	0.3991088441
371	0.8427609428	0.3988122296
372	0.8429924242	0.3986060728
373	0.8430765993	0.3983941648
374	0.8430976431	0.3982367951
375	0.8431607744	0.3981634201
376	0.8433080808	0.397860855
377	0.8433291246	0.3977946731
378	0.8435185185	0.3975582576
379	0.8435395623	0.3973446829
380	0.84375	0.3968642488
381	0.8439604377	0.3965332412
382	0.8441077441	0.3963370351
383	0.8444023569	0.3959121479
384	0.8446127946	0.395723208
385	0.8445496633	0.3954694814
386	0.8446338384	0.3952247701
387	0.8446338384	0.3951193394
388	0.8447811448	0.3947960176
389	0.8448863636	0.3946437536
390	0.8452020202	0.3943646143
391	0.8452861953	0.3941681339
392	0.8452651515	0.3940794928
393	0.8451599327	0.3939342409
394	0.8452861953	0.3937612312
395	0.8454755892	0.3934382368
396	0.8456228956	0.3932963838
397	0.8457912458	0.392922494
398	0.8460227273	0.3927583462
399	0.8461910774	0.3926044555
400	0.8463594276	0.3922699157
401	0.8467382155	0.3917402945
402	0.846780303	0.3916580157
403	0.846780303	0.3915196557
404	0.8469276094	0.3913314392
405	0.8469907407	0.3911587786
406	0.8472011785	0.3908016692
407	0.846969697	0.3905562232
408	0.8474537037	0.3901132894
409	0.8474957912	0.3899417871
410	0.847706229	0.3899040629
411	0.8475799663	0.3898838352
412	0.8477483165	0.3896347735
413	0.8478745791	0.3894551337
414	0.8478745791	0.3893618769
415	0.8480639731	0.3887861348
416	0.8483585859	0.3883529801
417	0.8485479798	0.388033854
418	0.8488005051	0.3877571698
419	0.8489478114	0.3874281179
420	0.8490951178	0.3870749008
421	0.8493476431	0.3868508529
422	0.8493055556	0.3866650307
423	0.8496422559	0.3861472777
424	0.8498947811	0.3855737276
425	0.8500210438	0.3853318087
426	0.8500631313	0.3851331008
427	0.8501893939	0.3848837403
428	0.8505892256	0.3844993336
429	0.8508627946	0.3840693436
430	0.8508627946	0.3840459306
431	0.8511574074	0.3836236957
432	0.8516414141	0.3833403631
433	0.851746633	0.383239756
434	0.8519991582	0.3829082511
435	0.8521464646	0.3825839366
436	0.8520622896	0.3822748351
437	0.8521885522	0.3821470221
438	0.8522516835	0.381926447
439	0.8523358586	0.3816767083
440	0.8524410774	0.3815459018
441	0.8525883838	0.3813930995
442	0.8525462963	0.3812203841
443	0.8525252525	0.3809292961
444	0.8527146465	0.3806663273
445	0.8526936027	0.3804616161
446	0.8530723906	0.3801078572
447	0.8531776094	0.3798630923
448	0.8531986532	0.3797639303
449	0.8532407407	0.3794696518
450	0.853493266	0.3792491005
451	0.8537247475	0.378846258
452	0.8539351852	0.3786780381
453	0.8542087542	0.3782396119
454	0.8542929293	0.3781180706
455	0.8542929293	0.3778709798
456	0.8542087542	0.3778103626
457	0.8542929293	0.3776325871
458	0.8543350168	0.3774434532
459	0.8545454545	0.3773021647
460	0.8544612795	0.3772411974
461	0.8545664983	0.3770363054
462	0.8547979798	0.3766502916
463	0.8550084175	0.3764171873
464	0.8549873737	0.3763824128
465	0.8548821549	0.3761980052
466	0.8551136364	0.3758957807
467	0.8554503367	0.3755065452
468	0.8557239057	0.3752481203
469	0.8558080808	0.3750082439
470	0.8558291246	0.3749319679
471	0.8561026936	0.374754415
472	0.8561026936	0.3745981431
473	0.8562289562	0.374366605
474	0.8563131313	0.3742927887
475	0.8563131313	0.3741855165
476	0.8563973064	0.373915138
477	0.8565656566	0.3738311834
478	0.8566287879	0.3737507403
479	0.8566287879	0.3736645379
480	0.8567340067	0.3735099636
481	0.8567550505	0.3733684222
482	0.8568602694	0.3733011888
483	0.8568181818	0.3731545768
484	0.8568392256	0.3729709335
485	0.8568813131	0.3727678539
486	0.8569654882	0.3726717844
487	0.8568602694	0.3725434604
488	0.8569444444	0.3724573798
489	0.8569234007	0.3722700502
490	0.8570917508	0.3720407402
491	0.8572811448	0.3716878448
492	0.8573442761	0.3715035129
493	0.8575547138	0.3713736463
494	0.8574705387	0.3711379862
495	0.8577020202	0.3709132464
496	0.8578914141	0.370555785
497	0.8581018519	0.3703353708
498	0.858270202	0.3699599943
499	0.858270202	0.3698281952
500	0.8584175084	0.3695882968
501	0.8585858586	0.369339956
502	0.858733165	0.3690407137
503	0.8588594276	0.3688376852
504	0.8589856902	0.3687217321
505	0.859006734	0.3686522564
506	0.8591961279	0.3684649343
507	0.8590909091	0.3683583698
508	0.8592382155	0.3680967735
509	0.8592592593	0.3680068714
510	0.8593013468	0.3677526645
511	0.859469697	0.3673813358
512	0.8595959596	0.3672196633
513	0.8595749158	0.367149003
514	0.8595749158	0.3671048359
515	0.8599116162	0.3668591256
516	0.8602272727	0.3664158264
517	0.8602272727	0.3662809672
518	0.8604166667	0.3661634626
519	0.860479798	0.3657536781
520	0.8607112795	0.3655134378
521	0.8606902357	0.3653898565
522	0.8607323232	0.3651505479
523	0.8608796296	0.3649315367
524	0.8613425926	0.3645898895
525	0.8613215488	0.3644202262
526	0.8611742424	0.3642863952
527	0.8614057239	0.3641555497
528	0.8614688552	0.3638827007
529	0.8617424242	0.3637601689
530	0.8617003367	0.3635444278
531	0.861952862	0.3632700313
532	0.8619739057	0.363220684
533	0.8618897306	0.3630938594
534	0.8620159933	0.3629627129
535	0.862037037	0.3627641855
536	0.862037037	0.3626587419
537	0.8624158249	0.362254776
538	0.8622895623	0.3620708993
539	0.8623316498	0.3619903626
540	0.8624579125	0.3618622989
541	0.8626262626	0.361748251
542	0.8627946128	0.3615906973
543	0.8629208754	0.3610753456
544	0.8631944444	0.3608710463
545	0.8632786195	0.3606742138
546	0.8635311448	0.3604362546
547	0.8635942761	0.3601741608
548	0.8639099327	0.359814897
549	0.8639941077	0.3593516806
550	0.8641203704	0.3591041383
551	0.8642255892	0.3588602525
552	0.8642676768	0.3587852851
553	0.8642887205	0.3586980242
554	0.8643308081	0.3586083065
555	0.8645412458	0.3583725064
556	0.8646254209	0.3582515071
557	0.864793771	0.3578900876
558	0.8648569024	0.3576960101
559	0.8653198653	0.3573835827
560	0.8652988215	0.3572109198
561	0.8654671717	0.3569140533
562	0.8655934343	0.35671101
563	0.8655934343	0.3564834953
564	0.8659722222	0.3560314932
565	0.866266835	0.3558092091
566	0.8660774411	0.3557412481
567	0.8663299663	0.3554820249
568	0.8664351852	0.355079038
569	0.8668771044	0.3549181068
570	0.8670875421	0.354610042
571	0.8673611111	0.3542840072
572	0.8675715488	0.3541824882
573	0.8675294613	0.3540306965
574	0.8675294613	0.3539327029
575	0.8675925926	0.3537249953
576	0.8675925926	0.3536264213
577	0.8676767677	0.3534067813
578	0.8679292929	0.3533662738
579	0.8680976431	0.3532088908
580	0.8681186869	0.3529820432
581	0.8684553872	0.3526400988
582	0.8684343434	0.3525289671
583	0.868476431	0.3525096833
584	0.8685606061	0.3523988998
585	0.8686237374	0.3522562609
586	0.8686237374	0.3521994877
587	0.8687920875	0.3520058553
588	0.8688131313	0.3517129127
589	0.8690446128	0.3514237867
590	0.8691077441	0.351173503
591	0.8692760943	0.3510016622
592	0.8694654882	0.3508276504
593	0.8696548822	0.3506178463
594	0.8698021886	0.3503066014
595	0.8698442761	0.3500175331
596	0.8699915825	0.349844372
597	0.8702441077	0.3496147333
598	0.8703072391	0.3495351927
599	0.8703914141	0.3494779156
600	0.8703493266	0.3493476933
601	0.8704335017	0.349100578
602	0.8706018519	0.3489062946
603	0.8707281145	0.3485267609
604	0.8708122896	0.3484223604
605	0.8708543771	0.3482957203
606	0.8709385522	0.3482238121
607	0.8711910774	0.3479870751
608	0.8710858586	0.3478236528
609	0.8711489899	0.3477560306
610	0.8712121212	0.3477109543
611	0.8712752525	0.3475225847
612	0.871233165	0.3473320048
613	0.8712542088	0.3472055209
614	0.8714436027	0.3467737859
615	0.871780303	0.3465083688
616	0.8720328283	0.3461845114
617	0.8721380471	0.345841012
618	0.8721801347	0.345744963
619	0.872243266	0.3456221745
620	0.872243266	0.3455964049
621	0.8726010101	0.3452126673
622	0.8726010101	0.3450999014
623	0.8726641414	0.344989997
624	0.8728324916	0.3449019248
625	0.8728745791	0.3447627553
626	0.8728956229	0.3446419875
627	0.8730218855	0.3444080177
628	0.8730008418	0.3443108612
629	0.8730429293	0.3441937548
630	0.8731691919	0.3439513885
631	0.8729166667	0.3438725805
632	0.8730429293	0.3436392902
633	0.8732323232	0.3434966731
634	0.8731902357	0.3434435503
635	0.873253367	0.3433513186
636	0.8732954545	0.3432273328
637	0.8735479798	0.3430138134
638	0.8739057239	0.3425872158
639	0.8741161616	0.3423485383
640	0.8744739057	0.341948538
641	0.8746212121	0.3416586087
642	0.874537037	0.3416023255
643	0.8748106061	0.3414346607
